# dist dist_scale dist_err phase_rad phase_err phase_deg
0.05 0.0001 0.0005 1.6580627893946132 0.08726646259971647 95.0
0.1 0.0001 0.001 3.717551306747922 0.08726646259971647 213.0
0.15 0.0001 0.0015 5.183627878423159 0.08726646259971647 297.0
0.2 0.0001 0.002 7.173303225696695 0.08726646259971647 411.0
0.25 0.0001 0.0025 9.05825881785057 0.08726646259971647 519.0
0.3 0.0001 0.003 11.117747335203878 0.08726646259971647 637.0
0.35 0.0001 0.0035 12.775810124598491 0.08726646259971647 732.0
0.4 0.0001 0.004 15.114551322270893 0.08726646259971647 866.0
0.45 0.0001 0.0045 16.24901533606721 0.08726646259971647 931.0
0.5 0.0001 0.005 18.2212373908208 0.08726646259971647 1044.0
0.55 0.0001 0.0055 20.106192982974676 0.08726646259971647 1152.0
0.6 0.0001 0.006 21.799162357409177 0.08726646259971647 1249.0
