# freq freq_scale freq_err phase_rad phase_err phase_deg
1.0 0.0001 1000.0 3.01941960595019 0.2617993877991494 173.0
6.0 0.0001 6000.0 6.876597252857659 0.2617993877991494 394.0
11.0 0.0001 11000.0 9.808750396208133 0.2617993877991494 562.0
16.0 0.0001 16000.0 12.723450247038663 0.2617993877991494 729.0
21.0 0.0001 21000.0 15.917402778188286 0.2617993877991494 912.0
26.0 0.0001 26000.0 18.7448361664191 0.2617993877991494 1074.0
31.0 0.0001 31000.0 21.71189589480946 0.2617993877991494 1244.0
36.0 0.0001 36000.0 25.58652683423687 0.2617993877991494 1466.0
41.0 0.0001 41000.0 28.832839242946324 0.2617993877991494 1652.0
46.0 0.0001 46000.0 31.223940318178556 0.2617993877991494 1789.0
51.0 0.0001 51000.0 34.69714552964727 0.2617993877991494 1988.0
52.0 0.0001 52000.0 37.57693879543792 0.2617993877991494 2153.0
