# temprature v_group v_group_err v_group_chi_sqr
22 1499.071368754994 27.66003486084459 0.1022811849146271
29 1529.8570762519794 12.376185569973675 0.019682672099518333
36 1501.610978988522 23.23759884285705 0.07197435312883886
43 1571.9236624050611 16.11605118840484 0.03160805268772207
50 1585.1496710897968 26.313503352282183 0.08280645520932119
57 1573.0270770235325 20.944372024328445 0.05329425444100521
65 1567.2598892160631 40.6815558220789 0.20214832426777216
