# dist dist_scale dist_err time time_scale time_err
7.5 0.075 0.01 56.58 5.658e-05 1e-09
10.0 0.1 0.01 72.28325000000001 7.228325e-05 1e-09
12.0 0.12 0.01 85.88 8.588e-05 1e-09
14.0 0.14 0.01 101.5 0.0001015 1e-09
16.0 0.16 0.01 112.9 0.0001129 1e-09
18.0 0.18 0.01 125.7 0.0001257 1e-09
