# dist dist_scale dist_err time time_scale time_err
7.5 0.075 0.01 54.0 5.4e-05 1e-06
10.0 0.1 0.01 71.1865 7.118649999999999e-05 1e-06
12.0 0.12 0.01 84.7865 8.47865e-05 1e-06
14.0 0.14 0.01 98.1865 9.818649999999999e-05 1e-06
16.0 0.16 0.01 111.6865 0.0001116865 1e-06
18.0 0.18 0.01 125.2865 0.0001252865 1e-06
20.0 0.2 0.01 138.98000000000002 0.00013898 1e-06
22.0 0.22 0.01 151.48000000000002 0.00015148 1e-06
