# dist dist_scale dist_err time time_scale time_err
7.5 0.075 0.01 54.2 5.42e-05 1e-09
10.0 0.1 0.01 69.2 6.92e-05 1e-09
12.0 0.12 0.01 84.2 8.42e-05 1e-09
14.0 0.14 0.01 95.1 9.51e-05 1e-09
16.0 0.16 0.01 108.0 0.000108 1e-09
18.0 0.18 0.01 120.1 0.00012009999999999999 1e-09
