# dist dist_scale dist_err time time_scale time_err
7.5 0.075 0.01 55.6 5.5599999999999996e-05 1e-09
10.0 0.1 0.01 71.8 7.18e-05 1e-09
12.0 0.12 0.01 83.34 8.334e-05 1e-09
14.0 0.14 0.01 98.4 9.84e-05 1e-09
16.0 0.16 0.01 112.0 0.000112 1e-09
18.0 0.18 0.01 125.0 0.000125 1e-09
