# dist dist_scale dist_err time time_scale time_err
7.5 0.075 0.01 54.480000000000004 5.448e-05 1e-09
10.0 0.1 0.01 72.53999999999999 7.254e-05 1e-09
12.0 0.12 0.01 83.5 8.35e-05 1e-09
14.0 0.14 0.01 96.4 9.64e-05 1e-09
16.0 0.16 0.01 111.34 0.00011134 1e-09
18.0 0.18 0.01 120.80000000000001 0.00012080000000000001 1e-09
